date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-01-15,86.81,87.12,85.81,85.68,526216.56,-1.02,-1.18,85.782,85.798,85.419,635612.74,626798.52,518203.35,0.49
2020-01-16,86.31,86.37,85.55,85.55,498579.09,-0.26,-0.3,85.884,85.741,85.397,615586.15,598831.23,520444.67,0.46
2020-01-17,86.15,86.9,86.25,85.85,555370.19,0.7,0.82,86.178,85.746,85.425,621487.27,594870.25,531672.07,0.51
2020-01-20,88.3,88.7,87.6,87.35,936050.62,1.35,1.56,86.408,85.946,85.528,646579.65,624830.5,560559.15,0.86
2020-01-21,87.0,87.29,85.6,85.6,727579.44,-2.0,-2.28,86.162,85.891,85.594,648759.18,652369.61,574079.03,0.67
2020-01-22,85.0,85.48,85.22,83.83,736576.88,-0.38,-0.44,86.044,85.913,85.632,690831.24,663221.99,596297.65,0.68
2020-01-23,84.01,84.56,83.49,82.48,1080020.62,-1.73,-2.03,85.632,85.758,85.61,807119.55,711352.85,634487.17,1.0
2020-02-03,76.51,79.25,77.71,76.4,2031498.62,-5.78,-6.92,83.924,85.051,85.274,1102345.24,861916.25,721735.69,1.88
2020-02-04,78.3,80.97,80.43,78.2,1213480.5,2.72,3.5,82.49,84.449,85.059,1157831.21,902205.43,757768.26,1.12
2020-02-05,80.56,81.33,80.38,79.76,753196.94,-0.05,-0.06,81.446,83.804,84.784,1162954.71,905856.95,761618.72,0.7
2020-02-06,81.18,81.97,81.52,80.38,672189.69,1.14,1.42,80.706,83.375,84.587,1150077.27,920454.26,773626.39,0.62
2020-02-07,80.6,81.2,81.03,80.42,491630.56,-0.49,-0.6,80.214,82.923,84.332,1032399.26,919759.41,759295.32,0.45
2020-02-10,80.35,80.64,80.3,79.9,593604.5,-0.73,-0.9,80.732,82.328,84.037,744820.44,923582.84,759226.54,0.55
2020-02-11,80.89,81.86,81.13,80.5,584322.19,0.83,1.03,80.872,81.681,83.814,618988.78,888409.99,756620.25,0.54
2020-02-12,81.1,81.46,81.2,80.55,444339.03,0.07,0.09,81.036,81.241,83.566,557217.19,860085.95,756227.78,0.41
2020-02-13,81.2,81.2,80.45,80.36,562603.94,-0.75,-0.92,80.822,80.764,83.339,535300.04,842688.66,752955.32,0.52
2020-02-14,80.37,81.26,81.0,80.21,428765.34,0.55,0.68,80.816,80.515,83.137,522727.0,777563.13,744457.99,0.4
2020-02-17,81.0,82.49,82.39,80.7,678118.81,1.39,1.72,81.234,80.983,83.017,539629.86,642225.15,752070.7,0.63
2020-02-18,81.81,82.11,81.55,81.44,513200.22,-0.84,-1.02,81.318,81.095,82.772,525405.47,572197.12,737201.28,0.47
2020-02-19,81.03,82.24,81.7,81.01,460474.16,0.15,0.18,81.418,81.227,82.516,528632.49,542924.84,724390.9,0.43
2020-02-20,82.0,83.61,83.28,81.35,833042.56,1.58,1.93,81.984,81.403,82.389,582720.22,559010.13,739732.2,0.77
2020-02-21,82.5,83.23,82.38,82.0,1093905.88,-0.9,-1.08,82.26,81.538,82.231,715748.33,619237.66,769498.53,1.01
2020-02-24,81.0,81.3,80.72,80.5,1035102.94,-1.66,-2.02,81.926,81.58,81.954,787145.15,663387.51,793485.17,0.96
2020-02-25,79.8,80.32,80.19,79.51,869000.94,-0.53,-0.66,81.654,81.486,81.584,858305.3,691855.38,790132.69,0.8
2020-02-26,79.45,80.76,79.83,79.11,844166.5,-0.36,-0.45,81.28,81.349,81.295,935043.76,731838.13,795962.04,0.78
